,train_gini,test_gini,train_entropy,test_entropy
2,0.5900833333333333,0.5846666666666667,0.5900833333333333,0.5846666666666667
3,0.618625,0.6191666666666666,0.6187083333333333,0.6193333333333333
5,0.7056666666666667,0.7056666666666667,0.6938333333333333,0.7006666666666667
6,0.7380833333333333,0.7276666666666667,0.7302916666666667,0.722
8,0.7936666666666666,0.759,0.7817916666666667,0.7526666666666667
9,0.81675,0.761,0.8042083333333333,0.7518333333333334
11,0.8610416666666667,0.7618333333333334,0.8499583333333334,0.7596666666666667
12,0.8854166666666666,0.7545,0.8753333333333333,0.7465
14,0.9269583333333333,0.7503333333333333,0.9268333333333333,0.7428333333333333
15,0.9452916666666666,0.7433333333333333,0.9470416666666667,0.7388333333333333
17,0.9694166666666667,0.7401666666666666,0.9742916666666667,0.7363333333333333
18,0.978125,0.7383333333333333,0.9837916666666666,0.7355
20,0.9875,0.7345,0.993375,0.7346666666666667
21,0.9917083333333333,0.7333333333333333,0.9959583333333333,0.7378333333333333
23,0.9952916666666667,0.7326666666666667,0.9977083333333333,0.7351666666666666
24,0.9969583333333333,0.7296666666666667,0.998375,0.7358333333333333
26,0.9987083333333333,0.7328333333333333,0.9990833333333333,0.7358333333333333
28,0.999375,0.7301666666666666,0.9997083333333333,0.7371666666666666
