,train_acc,test_acc
2,0.7835833333333333,0.7698333333333334
3,0.8047916666666667,0.7856666666666666
4,0.821625,0.7975
5,0.8435833333333334,0.806
6,0.8720416666666667,0.8096666666666666
7,0.905,0.8118333333333333
8,0.9390833333333334,0.8135
9,0.9669166666666666,0.8148333333333333
10,0.984375,0.8145
11,0.9948333333333333,0.8158333333333333
12,0.999125,0.8133333333333334
13,0.9997916666666666,0.8128333333333333
14,0.9999583333333333,0.8116666666666666
15,0.9999583333333333,0.8093333333333333
16,0.9999583333333333,0.8098333333333333
17,0.9999583333333333,0.8111666666666667
18,0.9999583333333333,0.809
19,0.9999583333333333,0.81
